Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
2416,5241,0,0.024657534,CH,87,8_36,1.08,1,117,87,5162,1871,1.468493151,5.197260274,5162,1579
2417,5204,1,1.087671233,A,87,3_84,0.9,2,126,92,3569,3456,2.720547945,3.882191781,3569,3456
2418,5204,1,0.164383562,FL,87,8_8,1.48,1,126,87,3569,3456,2.720547945,3.882191781,3569,3456
2419,5209,1,0.164383562,FL,87,8_34,0.88,1,126,87,3616,3456,2.484931507,3.893150685,3569,3456
2420,5197,1,0.164383562,FL,87,8_14,1.21,1,15,87,3085,1729,3.512328767,6.654794521,3085,1729
2421,5197,1,0.638356164,J,87,8_17,1.28,1,15,90,3085,1729,3.512328767,6.654794521,3085,1729
2422,5197,1,2.254794521,A,87,8_31,1.18,1,11,104,3085,1729,3.512328767,6.654794521,3085,1729
2423,5198,0,0.164383562,FL,87,8_3,1.72,1,29,87,3462,3093,3.032876712,3.490410959,3462,3093
2424,5320,0,3.238356164,A,87,8_34,0.82,1,10,105,5263,1795,0.136986301,5.860273973,1854,1029
2425,5236,1,0.164383562,FL,87,8_39,0.69,1,33,87,2985,1752,4.517808219,5.739726027,1765,1752
2426,5237,1,0.646575342,SA,87,3_74,0.7,2,33.1,90,4896,2990,1.745205479,4.161643836,4896,2990
2427,5237,1,0.164383562,FL,87,3_73,0.99,2,33.1,87,4896,2990,1.745205479,4.161643836,4896,2990
2428,5237,1,2.142465753,A,87,7_32,0.75,1,34.5,104,4896,2990,1.745205479,4.161643836,4896,2990
2429,5237,1,4.079452055,A,87,7_27,0.93,1,34.5,116,4896,2990,1.745205479,4.161643836,4896,2990
2430,5247,0,0.164383562,FL,87,8_9,0.81,1,34.5,87,3608,1553,2.715068493,8.632876712,3608,1553
2431,5279,0,0.246575342,J,87,8_40,1.23,1,35,90,1361,1698,10.14246575,7.076712329,1361,1698
2432,5272,0,0.043835616,CH,87,8_35,1.62,1,39,87,2968,1577,4.81369863,8.309589041,2968,1769
2433,5322,1,0.657534247,SA,87,3_86,1.31,2,43,92,3453,1744,3.961643836,7.052054795,3453,1744
2434,5290,1,0.778082192,A,87,8_27,0.39,1,45,92,5079,1867,2.194520548,5.131506849,5079,1539
2435,5290,1,4.317808219,A,87,8_31,1.22,1,45,118,5079,1867,2.194520548,5.131506849,5079,1539
2436,5290,1,0.328767123,OFL,87,8_15,0.85,1,45,90,5079,1867,2.194520548,5.131506849,5079,1539
2437,5290,1,1.769863014,A,87,8_31,0.79,1,45,104,5079,1867,2.194520548,5.131506849,5079,1539
2438,5235,1,0.652054795,SA,87,7_46,0.64,1,47.1,90,1669,1742,6.805479452,5.794520548,1669,1897
2439,5235,1,4.304109589,A,87,7_42,0.68,1,11,116,1669,1742,6.805479452,5.794520548,1669,1897
2440,5235,1,4.032876712,A,87,7_37,0.65,1,11,116,1669,1742,6.805479452,5.794520548,1669,1897
2441,5235,1,5.17260274,A,87,7_29,0.66,1,11,122,1669,1742,6.805479452,5.794520548,1669,1897
2442,5196,0,0.164383562,FL,87,8_20,1.15,1,5,87,1605,1499,7.471232877,8.709589041,1605,4939
2443,5224,0,1.164383562,A,87,7_38,2.01,1,20,92,4878,1742,1.98630137,5.783561644,4878,1742
2444,5224,0,3.273972603,A,87,7_39,0.6,1,49,105,4878,1742,1.98630137,5.783561644,4878,1742
2445,5224,0,0.665753425,SA,87,3_85,0.76,2,50,90,4878,1742,1.98630137,5.783561644,4878,1742
2446,5224,0,0.164383562,FL,87,7_33,0.65,1,50,87,4878,1742,1.98630137,5.783561644,4878,1742
2447,5210,1,0.164383562,FL,87,8_32,1.02,1,51.2,87,2989,1710,4.161643836,5.95890411,2989,1766
2448,5275,1,3.75890411,A,87,8_33,0.56,1,135,116,1803,1356,6.098630137,11.11780822,1803,1802
2449,5275,1,0.246575342,J,87,8_6,1.18,1,53,90,1803,1356,6.098630137,11.11780822,1803,1802
2450,5275,1,0.273972603,J,87,8_8,0.52,1,53,90,1803,1356,6.098630137,11.11780822,1803,1802
2451,5275,1,3.676712329,A,87,8_30,0.74,1,135,116,1803,1356,6.098630137,11.11780822,1803,1802
2452,5212,0,1.123287671,A,87,8_5,1.36,1,54,92,1895,1754,4.663013699,6.630136986,1895,1754
2453,5212,0,0.164383562,FL,87,8_5,1.04,1,54,87,1895,1754,4.663013699,6.630136986,1895,1754
2454,5271,1,0.038356164,CH,87,8_39,0.7,1,6.5,87,1614,4902,7.2,1.915068493,1614,4902
2455,5225,1,0.164383562,FL,87,8_36,1.13,1,66,87,1438,1708,8.857534247,6.38630137,1438,1708
2456,5205,0,0.038356164,CH,87,8_33,1.08,1,67,87,3604,1533,2.789041096,8.797260274,3604,1533
2457,5285,1,3.295890411,A,87,8_40,0.99,1,57.1,105,3606,1394,2.780821918,9.808219178,472,1394
2458,5285,1,0.657534247,SA,87,8_34,0.78,1,68,90,3606,1394,2.780821918,9.808219178,472,1394
2459,5285,1,1.104109589,A,87,8_15,1.06,1,57.1,92,3606,1394,2.780821918,9.808219178,472,1394
2460,5285,1,4.057534247,A,87,8_39,0.94,1,57.1,116,3606,1394,2.780821918,9.808219178,472,1394
2461,5282,0,0.328767123,OFL,87,8_15,1.41,1,7,90,930,3519,14.29041096,3.117808219,930,3519
2462,5265,0,0.164383562,FL,87,3_85,1.07,2,78,87,1790,1731,5.534246575,5.860273973,1790,1731
2463,5265,0,0.561643836,SA,87,7_44,1.03,1,78,90,1790,1731,5.534246575,5.860273973,1790,1731
2464,5242,0,2.97260274,A,87,8_35,1.34,1,82.1,105,3698,1877,3.556164384,4.75890411,3698,1489
2465,5242,0,0.049315068,CH,87,8_38,1.53,1,82.1,87,3698,1877,3.556164384,4.75890411,3698,1489
2466,5242,0,3.084931507,A,87,8_31,0.82,1,82.1,105,3698,1877,3.556164384,4.75890411,3698,1489
2467,5217,0,3.282191781,A,87,8_38,1.83,1,103.1,105,3596,1579,2.701369863,7.926027397,1401,1877
2468,5217,0,0.164383562,FL,87,8_5,1.54,1,85,87,3596,1579,2.701369863,7.926027397,1401,1877
2469,5261,1,0.164383562,FL,87,8_8,0.57,1,86,87,3641,3515,2.646575342,3.142465753,1563,3617
2470,5277,0,0.246575342,J,87,8_18,1.76,1,87,90,4965,1616,1.947945205,7.865753425,4965,1616
2471,5277,0,0.783561644,SA,87,8_6,0.84,1,87,92,4965,1616,1.947945205,7.865753425,4965,1616
2472,5277,0,1.328767123,SA,87,8_28,0.76,1,92,103,4965,1616,1.947945205,7.865753425,4965,1616
2473,5254,1,1.197260274,A,87,7_32,0.68,1,120,92,1678,1412,5.838356164,9.920547945,1678,1412
2474,5254,1,0.164383562,FL,87,3_85,1.28,2,88,87,1678,1412,5.838356164,9.920547945,1678,1412
2475,5254,1,3.073972603,A,87,7_37,1.29,1,120,105,1678,1412,5.838356164,9.920547945,1678,1412
2476,5226,1,3.052054795,A,87,7_30,0.83,1,110,105,3574,4866,2.846575342,2.580821918,3574,4866
2477,5226,1,0.043835616,CH,87,7_37,1.13,1,93,87,3574,4866,2.846575342,2.580821918,3574,4866
2478,5269,1,1.021917808,A,87,3_74,1.79,2,92.1,92,3451,1801,3.136986301,5.473972603,3451,1801
2479,5325,1,0.975342466,SA,90,7_39,0.73,1,102,103,5075,5000,2.224657534,2.312328767,5075,5000
2480,5325,1,0.328767123,OFL,90,3_86,0.91,2,102,92,5075,5000,2.224657534,2.312328767,5075,5000
2481,5315,0,0.328767123,OFL,90,3_85,0.92,2,19,92,3449,4897,3.81369863,2.473972603,3449,4897
2482,5315,0,2.794520548,A,90,9_32,1.1,1,51.1,110,3449,4897,3.81369863,2.473972603,3449,4897
2483,5315,0,1.457534247,A,90,7_43,0.79,1,51.1,104,3449,4897,3.81369863,2.473972603,3449,4897
2484,5316,1,2.81369863,A,90,7_41,0.71,1,84,110,1824,4967,5.484931507,2.191780822,1824,4967
2485,5316,1,0.328767123,OFL,90,3_86,0.84,2,26.5,92,1824,4967,5.484931507,2.191780822,1824,4967
2486,5286,1,0.024657534,CH,90,8_5,1.31,1,3,90,1532,911,9.41369863,14.66575342,1532,911
2487,5341,0,0.657534247,SA,90,8_8,0.35,1,103.1,92,1854,1029,5.282191781,12.44931507,5140,1029
2488,5335,1,0.657534247,SA,90,3_2,1.31,2,33.1,92,4896,2990,2.202739726,4.619178082,4896,2990
2489,5335,1,3.079452055,A,90,7_42,1.38,1,48,110,4896,2990,2.202739726,4.619178082,4896,2990
2490,5284,0,0.246575342,J,90,8_11,0.49,1,-2,90,3094,1739,4.128767123,6.243835616,3094,5170
2491,5284,0,1.654794521,A,90,8_36,0.36,1,9,104,3094,1739,4.128767123,6.243835616,3094,5170
2492,5314,1,0.328767123,OFL,90,3_85,0.75,2,38,92,1821,1504,6.457534247,9.62739726,1821,1504
2493,5289,0,0.021917808,CH,90,7_40,1.08,1,4,90,1791,1729,6.528767123,7.402739726,1791,1509
2494,5294,1,0.024657534,CH,90,8_9,1.98,1,41.1,90,1757,1523,7.350684932,9.621917808,1757,1523
2495,5292,1,4.753424658,A,90,8_30,0.87,1,60.1,122,3022,1682,4.860273973,6.906849315,3022,3696
2496,5292,1,5.835616438,A,90,9_36,0.67,1,60.1,125,3022,1682,4.860273973,6.906849315,3022,3696
2497,5292,1,0.246575342,J,90,8_11,1.02,1,42,90,3022,1682,4.860273973,6.906849315,3022,3696
